seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4011,100,mappo_on,450,0,686.607,705.0,1255.4,1.8689,1.0,272,0,686.607,1.0,,,686.607,1.0,272,0.0,0,0.306,22.0
4022,50,mappo_on,225,225,544.736,513.0,1032.1,2.1854,1.0,246,0,534.68,1.0,554.791,1.0,534.68,1.0,114,0.0,0,0.5346,10.2
4010,25,mappo_on,112,338,1657.744,1838.0,2416.0,1.3662,1.0,413,0,1665.438,1.0,1655.195,1.0,1665.446,1.0,99,0.0,0,0.4785,16.5
4027,25,mappo_off,112,338,671.911,581.5,1376.1,2.5065,1.0,258,0,793.509,1.0,631.618,1.0,793.509,1.0,80,0.0,0,0.5815,10.3
4016,25,mappo_on,112,338,200.051,185.0,347.1,2.0432,1.0,43,0,248.652,1.0,183.947,1.0,248.652,1.0,23,0.0,0,0.3655,3.4
4029,50,mappo_off,225,225,301.387,277.5,556.0,2.2126,1.0,109,0,325.236,1.0,277.538,1.0,325.236,1.0,63,0.0,0,0.3879,7.2
4021,10,mappo_off,45,405,464.613,396.5,990.1,2.6675,1.0,207,0,400.289,1.0,471.76,1.0,400.289,1.0,20,0.0,0,0.5472,3.7
4018,75,dijkstra,338,112,380.549,245.0,921.4,3.9818,1.0,168,0,372.95,1.0,403.482,1.0,372.95,1.0,117,0.0,0,,4.2
4020,10,mappo_on,45,405,238.451,214.0,425.0,2.1334,1.0,63,0,345.133,1.0,226.598,1.0,345.133,1.0,10,0.0,0,0.4841,2.8
4012,10,mappo_off,45,405,1504.953,1755.5,2412.3,1.41,1.0,389,0,1859.511,1.0,1465.558,1.0,1859.511,1.0,41,0.0,0,0.5692,10.2
4011,75,dijkstra,338,112,708.091,703.5,1363.1,2.0117,1.0,286,0,716.852,1.0,681.652,1.0,716.852,1.0,214,0.0,0,,9.1
4014,25,dijkstra,112,338,285.609,273.5,492.1,1.8537,1.0,97,0,287.929,1.0,284.84,1.0,287.929,1.0,26,0.0,0,,2.4
4028,25,dijkstra,112,338,703.047,626.0,1393.7,2.3942,1.0,288,0,742.455,1.0,689.988,1.0,742.455,1.0,70,0.0,0,,5.9
4022,100,dijkstra,450,0,581.113,533.0,1117.1,2.198,1.0,252,0,581.113,1.0,,,581.113,1.0,254,0.0,0,,7.1
4017,25,mappo_off,112,338,454.533,394.5,922.2,2.5331,1.0,207,0,381.107,1.0,478.864,1.0,381.107,1.0,45,0.0,0,0.4957,6.5
4023,75,dijkstra,338,112,628.002,555.5,1200.2,2.3368,1.0,276,0,626.068,1.0,633.839,1.0,626.068,1.0,201,0.0,0,,5.9
4019,10,mappo_off,45,405,312.531,273.0,660.2,2.5775,1.0,146,0,414.067,1.0,301.249,1.0,414.067,1.0,18,0.0,0,0.5324,3.1
4015,75,mappo_off,338,112,559.784,529.0,1011.0,2.0554,1.0,273,0,581.349,1.0,494.705,1.0,581.349,1.0,206,0.0,0,0.4142,15.3
4028,50,mappo_on,225,225,672.387,611.5,1279.2,2.2047,1.0,284,0,713.991,1.0,630.782,1.0,713.991,1.0,141,0.0,0,0.4129,13.4
4017,100,mappo_on,450,0,357.624,322.0,682.3,2.3602,1.0,152,0,357.624,1.0,,,357.624,1.0,152,0.0,0,0.4103,12.7
4022,10,mappo_off,45,405,566.084,524.0,1080.9,2.2759,1.0,258,0,535.089,1.0,569.528,1.0,535.089,1.0,24,0.0,0,0.5045,4.2
4016,100,mappo_on,450,0,223.967,210.5,409.0,2.1451,1.0,57,0,223.967,1.0,,,223.967,1.0,58,0.0,0,0.2759,8.4
4021,100,dijkstra,450,0,515.407,490.5,1059.3,2.3173,1.0,228,0,515.407,1.0,,,515.407,1.0,228,0.0,0,,8.1
4014,100,mappo_on,450,0,308.204,294.5,567.1,2.1177,1.0,120,0,308.204,1.0,,,308.204,1.0,120,0.0,0,0.4156,10.6
4025,25,mappo_off,112,338,582.22,568.0,1108.1,2.0933,1.0,230,0,566.321,1.0,587.488,1.0,566.321,1.0,52,0.0,0,0.3204,7.4
4026,25,mappo_off,112,338,463.198,413.0,948.2,2.4019,1.0,203,0,452.634,1.0,466.698,1.0,452.634,1.0,46,0.0,0,0.5457,6.7
4025,75,mappo_on,338,112,554.242,565.5,1011.7,1.9241,1.0,213,0,561.935,1.0,531.027,1.0,561.935,1.0,157,0.0,0,0.253,12.7
4012,50,dijkstra,225,225,573.249,534.5,1081.4,2.1927,1.0,262,0,548.973,1.0,597.524,1.0,548.973,1.0,117,0.0,0,,4.3
4023,10,mappo_on,45,405,588.66,561.0,1114.0,2.152,1.0,278,0,760.8,1.0,569.533,1.0,760.8,1.0,34,0.0,0,0.5439,5.5
